mot,score
# Mots positifs français
bon,1.9
super,3.1
excellent,3.5
incroyable,3.4
merveilleux,2.9
fantastique,3.3
formidable,3.0
remarquable,3.1
superbe,3.2
brillant,3.0
génial,3.4
aimer,3.3
adorer,3.5
meilleur,2.8
parfait,3.0
supérieur,2.1
heureux,2.3
content,1.8
satisfait,1.6
apprécier,2.0
apprécié,2.0
impressionnant,2.5
incroyable,3.1
exceptionnel,2.9
ravi,3.0
dépassé,2.0
recommander,2.2
utile,1.9
précieux,2.0
positif,2.1
préféré,2.3
agréable,1.8
gentil,2.1
serviable,2.1
amical,2.2
généreux,2.2
intelligent,2.0
sage,1.8
beau,2.5
attrayant,1.9
élégant,1.9
plaisant,1.8
fiable,1.6
digne de confiance,2.3
honnête,2.2
joie,2.4
excité,2.3
reconnaissant,2.2
fier,1.9
gagner,2.5
gagnant,2.3
gagné,2.2
succès,2.0
réussite,2.1
accompli,1.9
héros,2.3
bénédiction,2.4
béni,2.4
félicitations,2.5
féliciter,2.3
amusant,2.1
drôle,1.7
humour,1.6
rire,1.9
sourire,2.0
bravo,2.5
merci,1.9
remercier,1.9
bienvenue,1.8
accueillant,1.8
récompense,1.9
récompensé,1.9
avantage,1.6
efficace,2.0
performant,2.1
innovant,2.2
créatif,2.1
inspirant,2.4
motivant,2.2
passionnant,2.5
dynamique,2.0
énergique,1.9
enthousiaste,2.3
chaleureux,2.1
accueillant,1.8
charmant,2.2
ravissant,2.3
splendide,2.8
magnifique,2.7
sublime,2.9
fascinant,2.4
captivant,2.2
intéressant,1.7
pertinent,1.6
instructif,1.7
éducatif,1.6
enrichissant,2.0
valorisant,2.1
gratifiant,2.2
épanouissant,2.3
satisfaisant,1.9
confortable,1.8
pratique,1.6
facile,1.7
simple,1.5
sécurisé,1.8
stable,1.6
durable,1.7
robuste,1.6
solide,1.6
fiable,1.7
exact,1.6
précis,1.7
soigné,1.8
délicat,1.6
exquis,2.4
délicieux,2.3
savoureux,2.1
succulent,2.2
appétissant,2.0
gourmand,1.9
frais,1.7
sain,1.8
nutritif,1.6
équilibré,1.7
pur,1.8
naturel,1.7
authentique,1.9
véritable,1.8
sincère,2.0
loyal,2.1
fidèle,2.0
engagé,1.9
dévoué,2.0
attentif,1.8
attentionné,2.1
soigneux,1.7
méticuleux,1.6
consciencieux,1.7
responsable,1.6
respectueux,1.9
pacifique,1.8
harmonieux,2.0
équilibré,1.7

# Mots négatifs français
mauvais,-2.5
pauvre,-2.0
terrible,-3.4
horrible,-3.2
affreux,-2.9
décevant,-2.2
déçu,-2.1
pire,-3.1
gaspillage,-2.3
inutile,-2.1
détester,-3.0
déteste,-3.0
déplaire,-2.1
regretter,-2.0
malheureusement,-1.9
problème,-1.8
cassé,-1.9
endommagé,-2.0
défectueux,-2.1
échoue,-2.0
échoué,-2.0
inférieur,-1.8
pire,-2.3
ennuyeux,-2.2
ennuyé,-2.1
frustré,-2.0
malheureux,-2.1
insatisfait,-2.2
négatif,-2.0
plainte,-1.9
stupide,-2.5
bête,-2.3
idiot,-2.8
ridicule,-2.0
pathétique,-2.6
incompétent,-2.2
sans valeur,-2.5
dégoûtant,-2.8
offensant,-2.4
grossier,-2.5
méchant,-2.0
méchanceté,-2.5
cruel,-2.9
mal,-3.0
en colère,-2.1
furieux,-2.5
indigné,-2.4
hostile,-2.4
agressif,-2.1
dangereux,-2.2
menaçant,-2.1
suspect,-1.9
malhonnête,-2.4
trompeur,-2.4
mentir,-2.3
menteur,-2.5
tricher,-2.3
tricheur,-2.4
laid,-2.2
hideux,-2.5
dégoûtant,-2.0
effrayant,-2.1
terrifié,-2.6
inquiet,-1.8
triste,-2.0
déprimé,-2.4
déprimant,-2.3
misérable,-2.6
dévasté,-2.8
contrarié,-2.1
honte,-2.2
embarrassé,-2.0
humilié,-2.5
souffrir,-2.2
souffrant,-2.2
malade,-1.9
maladie,-2.0
douleur,-2.2
douloureux,-2.2
blessé,-2.1
blessure,-1.9
tuer,-2.8
mort,-2.8
mourir,-2.7
crime,-2.5
criminel,-2.5
illégal,-2.0
corrompu,-2.7
corruption,-2.7
fraude,-2.8
arnaque,-2.8
scandale,-2.4
merde,-2.5
connerie,-2.7
putain,-3.0
con,-2.5
enfer,-2.0
désastre,-2.6
catastrophe,-2.7
crise,-2.3
chaos,-2.1
violence,-2.5
violent,-2.5
attaque,-2.4
attaqué,-2.4
échec,-2.3
échouer,-2.2
refuser,-1.8
refusé,-1.8
rejeter,-1.9
rejeté,-1.9
interdire,-1.7
interdit,-1.7
bloquer,-1.7
bloqué,-1.7
perdre,-2.0
perdu,-2.0
défaite,-2.1
perdant,-2.3
manqué,-1.8
tragique,-2.5
tragédie,-2.6
nul,-2.5
pourri,-2.7
ennuyeux,-2.1
monotone,-1.9
banal,-1.8
ordinaire,-1.5
médiocre,-1.9
insignifiant,-2.0
inutile,-2.1
inefficace,-2.0
incompétent,-2.3
incomplet,-1.7
insuffisant,-1.8
inadéquat,-1.9
inapproprié,-1.8
incorrect,-1.7
faux,-1.9
erroné,-1.8
défectueux,-2.0
défaillant,-2.1
dysfonctionnel,-2.2
problématique,-1.8
compliqué,-1.7
difficile,-1.6
complexe,-1.5
confus,-1.8
ambigu,-1.6
vague,-1.5
flou,-1.5
incertain,-1.6
douteux,-1.7
suspect,-1.8
méfiant,-1.7
méfiance,-1.8
suspicieux,-1.9
inquiétant,-2.0
alarmant,-2.1
effrayant,-2.2
épouvantable,-2.6
terrifiant,-2.5
angoissant,-2.3
stressant,-2.0
anxiogène,-2.2
tendu,-1.8
nerveux,-1.7
irritable,-1.9
irritant,-2.0
agaçant,-2.1
embêtant,-1.9
pénible,-2.0
laborieux,-1.8
épuisant,-2.1
fatiguant,-2.0
lassant,-1.9
lourd,-1.7
pesant,-1.8
encombrant,-1.6
inconfortable,-1.9
désagréable,-2.1
déplaisant,-2.0
repoussant,-2.3
répugnant,-2.5
écoeurant,-2.4
nauséabond,-2.2
puant,-2.3
malodorant,-2.1
insalubre,-2.0
malsain,-2.1
toxique,-2.4
nocif,-2.3
nuisible,-2.2
dangereux,-2.1
risqué,-1.9